date,t,s,i,r
2020-09-07,196,59017457.86376466,1353.968062427896,981188.1681728447
2020-09-08,197,59017457.58070921,1291.280752528414,981251.1385381921
2020-09-09,198,59017457.320835896,1231.4859623086736,981311.1932017221
2020-09-10,199,59017457.08224827,1174.4510321256034,981368.466719534
2020-09-11,200,59017456.86320615,1120.049318754284,981423.0874750231
2020-09-12,201,59017456.66210896,1068.1599321956521,981475.1779587755
2020-09-13,202,59017456.47748673,1018.6674768024617,981524.8550363968
2020-09-14,203,59017456.30799131,971.4618041276539,981572.2302044871
2020-09-15,204,59017456.152385965,926.4377787994949,981617.4098351571
2020-09-16,205,59017456.009532884,883.4950595098693,981660.4954075291
2020-09-17,206,59017455.878387295,842.5378799242952,981701.5837327067
2020-09-18,207,59017455.75799039,803.47484141838,981740.7671681156
2020-09-19,208,59017455.6474616,766.21871706908,981778.1338212528
2020-09-20,209,59017455.54599321,730.6862715382476,981813.7677351779
2020-09-21,210,59017455.45284331,696.7980744629199,981847.74908215
2020-09-22,211,59017455.36732999,664.4783273202985,981880.1543426136
2020-09-23,212,59017455.288826354,633.6547000752347,981911.0564734943
2020-09-24,213,59017455.216759145,604.2581823466809,981940.5250584312
2020-09-25,214,59017455.150601394,576.2229252607669,981968.6264732642
2020-09-26,215,59017455.089868434,549.4860975718301,981995.4240339145
2020-09-27,216,59017455.03411463,523.9877493366689,982020.9781359598
2020-09-28,217,59017454.98293227,499.6706873759998,982045.3463802782
2020-09-29,218,59017454.93594698,476.48034514168484,982068.5837078046
2020-09-30,219,59017454.8928152,454.36466383960186,982090.7425208797
2020-10-01,220,59017454.85322122,433.27397738838084,982111.8728013107
2020-10-02,221,59017454.81687491,413.1609032077241,982132.0222218051
2020-10-03,222,59017454.783509545,393.98023741399976,982151.2362529588
2020-10-04,223,59017454.75288045,375.68885768094043,982169.5582617907
2020-10-05,224,59017454.724763624,358.24562999844477,982187.0296062957
2020-10-06,225,59017454.69895314,341.6113139349167,982203.6897328459
2020-10-07,226,59017454.67525997,325.74847748897116,982219.5762624654
2020-10-08,227,59017454.65351049,310.62141430075644,982234.7250751377
2020-10-09,228,59017454.633545265,296.1960641478711,982249.1703905143
2020-10-10,229,59017454.61521782,282.4399372868864,982262.9448448147
2020-10-11,230,59017454.59839395,269.32204457445897,982276.0795614043
2020-10-12,231,59017454.582950346,256.8128266659712,982288.6042229093
2020-10-13,232,59017454.56877377,244.88408810723996,982300.5471380494
2020-10-14,233,59017454.555760294,233.50893641292495,982311.9353032134
2020-10-15,234,59017454.54381458,222.6617216740311,982322.7944636759
2020-10-16,235,59017454.53284898,212.31797862330777,982333.1491723225
