date,t,R0=0.5,R0=1,R0=1.1,R0=1.2
2020-10-19,238,4704.276715343792,182603.18869508707,365729.1319488014,709643.0481915285
2020-10-20,239,4591.4921876069775,182244.31289624466,366396.12036843924,713145.5510106917
2020-10-21,240,4481.411465222047,181884.94150403424,367058.5211216854,716639.7748364168
2020-10-22,241,4373.969744320914,181525.08277197686,367716.29630697495,720125.3208874945
2020-10-23,242,4269.103765163064,181164.74493390103,368369.40821338986,723601.788356578
2020-10-24,243,4166.751781013038,180803.93620364965,369017.8193255182,727068.7744929057
2020-10-25,244,4066.853530944164,180442.66477479026,369661.4923283316,730525.8746869332
2020-10-26,245,3969.3502001163242,180080.93882032894,370300.39011208044,733972.6825568818
2020-10-27,246,3874.184386117412,179718.76649242724,370934.475777208,737408.7900372127
2020-10-28,247,3781.3000541526662,179356.15592512852,371563.7126392819,740833.7874690366
2020-10-29,248,3690.642510038491,178993.11523197388,372188.06423394446,744247.263676108
2020-10-30,249,3602.158375675117,178629.65250235205,372807.49423098296,747648.8058828663
2020-10-31,250,3515.7955539716722,178265.77580387078,373421.9664809624,751038.000052208
2020-11-01,251,3431.503199004495,177901.49318210277,374031.4451541355,754414.4309485186
2020-11-02,252,3349.231676121993,177536.81266033585,374635.8946542951,757777.682193057
2020-11-03,253,3268.9325385127117,177171.74223932746,375235.27962320193,761127.3363621138
2020-11-04,254,3190.5585050955337,176806.28989706328,375829.56494519574,764462.9750868607
2020-11-05,255,3114.063429549278,176440.46358852024,376418.7157518119,767784.1791548936
2020-11-06,256,3039.4022738532717,176074.27124543404,377002.69742640475,771090.5286134654
2020-11-07,257,2966.531072778128,175707.72077607067,377581.4756087757,774381.6028744077
2020-11-08,258,2895.406913556668,175340.820065003,378155.0161998085,777656.9808207407
2020-11-09,259,2825.9879159627176,174973.5769728915,378723.28536610963,780916.2408271922
2020-11-10,260,2758.233204965583,174605.99933626954,379286.2495446546,784158.9607703561
2020-11-11,261,2692.102887267858,174238.09496733357,379843.87544744107,787384.7184414007
2020-11-12,262,2627.5580197083586,173869.87165373788,380396.1300661464,790593.0915188974
2020-11-13,263,2564.5605916261006,173501.33715839396,380942.98067679256,793783.6576718503
2020-11-14,264,2503.0735069193456,173132.49921927482,381484.39484441635,796955.9946714295
2020-11-15,265,2443.0605599011105,172763.3655492242,382020.3404092606,800109.6805040188
2020-11-16,266,2384.486414493163,172393.9438357705,382550.7853496775,803244.2934855596
2020-11-17,267,2327.316576117445,172024.24174094584,383075.6980329236,806359.4123771805
2020-11-18,268,2271.517376396995,171654.26689723163,383595.0471607425,809454.6165020976
2020-11-19,269,2217.055957005725,171284.02689847347,384108.80173951364,812529.4858601736
