,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Jul 10 2016,,2161.74,,2131.72,,2169.05,,2131.72,,-,,1.49%,
,Jul 03 2016,,2129.90,,2095.05,,2131.71,,2074.02,,-,,1.28%,
,Jun 26 2016,,2102.95,,2031.45,,2108.71,,1991.68,,-,,3.22%,
,Jun 19 2016,,2037.41,,2075.58,,2113.32,,2032.57,,-,,-1.63%,
,Jun 12 2016,,2071.22,,2091.75,,2098.12,,2050.37,,-,,-1.19%,
,Jun 05 2016,,2096.07,,2100.83,,2120.55,,2089.96,,-,,-0.15%,
,May 29 2016,,2099.13,,2100.13,,2105.26,,2085.10,,-,,0.00%,
,May 22 2016,,2099.06,,2052.23,,2099.06,,2047.26,,-,,2.28%,
,May 15 2016,,2052.32,,2046.53,,2071.88,,2025.91,,-,,0.28%,
,May 08 2016,,2046.61,,2057.55,,2084.87,,2043.13,,-,,-0.51%,
,May 01 2016,,2057.14,,2067.17,,2083.42,,2039.45,,-,,-0.40%,
,Apr 24 2016,,2065.30,,2089.37,,2099.89,,2052.28,,-,,-1.26%,
,Apr 17 2016,,2091.58,,2078.83,,2111.05,,2073.65,,-,,0.52%,
,Apr 10 2016,,2080.73,,2050.23,,2087.84,,2039.74,,-,,1.62%,
,Apr 03 2016,,2047.60,,2073.19,,2074.02,,2033.80,,-,,-1.21%,
,Mar 27 2016,,2072.78,,2037.89,,2075.07,,2028.31,,-,,1.81%,
,Mar 20 2016,,2035.94,,2047.88,,2056.60,,2022.49,,-,,-0.67%,
,Mar 13 2016,,2049.58,,2019.27,,2052.36,,2005.23,,-,,1.35%,
,Mar 06 2016,,2022.19,,1996.11,,2022.37,,1969.25,,-,,1.11%,
,Feb 28 2016,,1999.99,,1947.13,,2009.13,,1931.81,,-,,2.67%,
,Feb 21 2016,,1948.05,,1924.44,,1962.96,,1891.00,,-,,1.58%,
,Feb 14 2016,,1917.78,,1871.44,,1930.68,,1871.44,,-,,2.84%,
,Feb 07 2016,,1864.78,,1873.25,,1881.60,,1810.10,,-,,-0.81%,
,Jan 31 2016,,1880.05,,1936.94,,1947.20,,1872.23,,-,,-3.10%,
