t,s,i,r
340,226531.90541133835,0.7344358592455178,59773467.36015272
341,226531.90429986737,0.6848781505519127,59773467.4108219
342,226531.9032633954,0.6386644596393757,59773467.458072074
343,226531.9022968617,0.5955691411930091,59773467.50213391
344,226531.90139554703,0.5553817761717905,59773467.54322259
345,226531.9005550506,0.5179061438099963,59773467.58153873
346,226531.89977126854,0.48295926388085514,59773467.61726938
347,226531.89904037394,0.4503705031658492,59773467.65058904
348,226531.89835879812,0.4199807422022099,59773467.68166038
349,226531.89772321316,0.391641598658212,59773467.7106351
350,226531.8971305157,0.36521470237578657,59773467.7376547
351,226531.89657781186,0.3405710203434547,59773467.7628511
352,226531.89606240293,0.3175902260027168,59773467.78634729
353,226531.8955817724,0.29616011244091817,59773467.80825804
354,226531.89513357347,0.2761760438359813,59773467.828690305
355,226531.8947156178,0.2575404451932021,59773467.84774386
356,226531.8943258646,0.2401623253609666,59773467.86551174
357,226531.8939624109,0.22395683322239573,59773467.88208069
358,226531.89362348203,0.20884484302574338,59773467.897531606
359,226531.89330742316,0.19475256831421603,59773467.911939934
360,226531.89301269106,0.18161120147568957,59773467.92537604
361,226531.89273784668,0.16935657786591948,59773467.937905505
362,226531.89248154804,0.15792886251433771,59773467.94958951
363,226531.89224254372,0.1472722578943686,59773467.96048512
364,226531.89201966676,0.13733473153837067,59773467.97064553
365,226531.89181182891,0.128067761904892,59773467.98012033
366,226531.8916180154,0.11942610206151963,59773467.98895582
367,226531.89143727988,0.11136755756092204,59773467.99719509
368,226531.8912687399,0.10385278148776628,59773468.00487842
369,226531.89111157254,0.09684508207289626,59773468.012043275
370,226531.89096501042,0.09031024308634146,59773468.01872468
371,226531.89082833787,0.08421635681118013,59773468.024955235
372,226531.89070088763,0.07853366949447979,59773468.030765384
373,226531.8905820374,0.07323443410314347,59773468.03618348
374,226531.89047120683,0.0682927764109953,59773468.04123595
375,226531.8903678548,0.06368456839834581,59773468.04594752
376,226531.89027147667,0.059387309189781815,59773468.05034116
377,226531.8901816019,0.055380017464167285,59773468.05443832
378,226531.8900977916,0.0516431265863179,59773468.058259025
379,226531.8900196366,0.04815839078621559,59773468.06182192
380,226531.88994675528,0.04490879549520791,59773468.06514439
381,226531.8898787918,0.04187847370093093,59773468.06824268
382,226531.8898154143,0.039052629878378486,59773468.0711319
383,226531.88975631332,0.0364174660965795,59773468.073826164
384,226531.88970120036,0.033960116283037224,59773468.076338634
385,226531.88964980625,0.03166858208988763,59773468.07868156
386,226531.88960188007,0.02953167356587292,59773468.0808664
387,226531.88955718782,0.027538957761451516,59773468.0829038
388,226531.88951551128,0.025680705095778886,59773468.08480373
389,226531.88947664696,0.023947841789164134,59773468.08657546
390,226531.8894404051,0.022331907616666452,59773468.08822764
391,226531.88940660874,0.020825012391735613,59773468.08976833
392,226531.88937509284,0.019419797908037724,59773468.09120507
393,226531.8893457036,0.018109403701652323,59773468.09254484
394,226531.8893182974,0.01688743129354199,59773468.09379423
395,226531.88929274052,0.015747913886892614,59773468.0949593
396,226531.88926890815,0.014685288162010705,59773468.09604576
397,226531.88924668395,0.013694365462720256,59773468.0970589
398,226531.88922595934,0.012770307426260995,59773468.09800369
399,226531.88920663318,0.011908602505592593,59773468.09888472
400,226531.8891886111,0.011105042931622067,59773468.09970631
401,226531.8891718051,0.01035570524255083,59773468.10047245
402,226531.8891561331,0.009656930917334989,59773468.101186894
403,226531.88914151865,0.009005307838300995,59773468.101853125
404,226531.88912789032,0.00839765449822713,59773468.10247441
405,226531.88911518158,0.007831004038567896,59773468.10305376
406,226531.8891033304,0.007302589470962191,59773468.10359404
407,226531.8890922789,0.006809830911638614,59773468.10409784
408,226531.88908197312,0.00635032241280921,59773468.10456766
409,226531.88907236274,0.0059218201434050296,59773468.10500577
410,226531.88906340086,0.005522232065636237,59773468.10541432
411,226531.88905504372,0.005149607124904273,59773468.1057953
412,226531.88904725047,0.004802125810331484,59773468.10615059
413,226531.8890399831,0.004478091648422374,59773468.10648189
414,226531.8890332061,0.004175922434036023,59773468.106790826
415,226531.8890268864,0.003894142685251079,59773468.10707893
416,226531.88902099314,0.003631376710589922,59773468.10734759
417,226531.88901549752,0.0033863414500196905,59773468.10759811
418,226531.88901037275,0.0031578404518355,59773468.10783174
419,226531.88900559378,0.002944758116781139,59773468.1080496
420,226531.8890011373,0.002746053971724257,59773468.10825276
421,226531.8889969815,0.002560757821369836,59773468.10844221
422,226531.8889931061,0.0023879649834330596,59773468.10861888
423,226531.88898949223,0.002226831697717154,59773468.10878363
424,226531.88898612224,0.002076571234035294,59773468.108937256
425,226531.8889829796,0.0019364499563059205,59773468.10908053
426,226531.88898004906,0.0018057836467942183,59773468.10921412
427,226531.88897731624,0.0016839343534907076,59773468.1093387
428,226531.88897476782,0.0015703071321745755,59773468.109454885
429,226531.88897239137,0.0014643471503583594,59773468.10956322
430,226531.8889701753,0.0013655371740536166,59773468.10966424
431,226531.88896810875,0.0012733947346974148,59773468.10975845
432,226531.88896618164,0.0011874697153349068,59773468.10984631
433,226531.88896438456,0.0011073425037123716,59773468.10992822
434,226531.88896270876,0.001032622051326075,59773468.110004626
435,226531.888961146,0.0009629435050904922,59773468.11007586
436,226531.88895968872,0.0008979666388257234,59773468.1101423
437,226531.88895832977,0.0008373740841786508,59773468.11020424
438,226531.8889570625,0.000780870000279544,59773468.110262014
439,226531.88895588077,0.000728178756789981,59773468.11031589
440,226531.88895477875,0.0006790432329880313,59773468.110366136
441,226531.8889537511,0.0006332231131360645,59773468.11041298
442,226531.8889527928,0.0005904947418575345,59773468.11045666
443,226531.88895189916,0.0005506497825689623,59773468.11049741
444,226531.88895106583,0.0005134934594284068,59773468.11053539
445,226531.88895028873,0.00047884419885383246,59773468.11057082
446,226531.88894956405,0.0004465329787895409,59773468.11060386
447,226531.88894888829,0.000416402219147882,59773468.11063466
448,226531.88894825813,0.0003883044910708575,59773468.11066339
449,226531.88894767046,0.00036210263572174423,59773468.110690184
450,226531.88894712247,0.00033766893156049433,59773468.11071517
451,226531.88894661146,0.0003148839995792932,59773468.11073846
452,226531.88894613492,0.0002936364503750185,59773468.11076018
453,226531.88894569053,0.00027382260962390687,59773468.11078044
454,226531.88894527615,0.0002553458542908332,59773468.110799335
455,226531.8889448897,0.00023811580331581627,59773468.11081696
456,226531.88894452935,0.00022204832660596764,59773468.11083338
457,226531.8889441933,0.00020706508882509846,59773468.11084871
458,226531.88894387995,0.00019309292579240543,59773468.110862985
459,226531.88894358775,0.00018006351056059242,59773468.11087631
460,226531.88894331522,0.0001679132660853497,59773468.110888734
461,226531.88894306112,0.00015658292960138418,59773468.11090032
462,226531.88894282415,0.00014601717246195368,59773468.11091112
463,226531.88894260317,0.0001361643032289839,59773468.1109212
464,226531.8889423971,0.00012697629151327638,59773468.11093059
465,226531.88894220494,0.00011840824951853167,59773468.11093936
466,226531.88894202575,0.00011041821593309054,59773468.11094753
467,226531.88894185863,0.00010296724371725038,59773468.11095514
468,226531.8889417028,9.601911862402039e-05,59773468.11096224
469,226531.8889415575,8.954007763417159e-05,59773468.110968865
470,226531.888941422,8.34983496066494e-05,59773468.11097504
471,226531.88894129565,7.786440568058241e-05,59773468.1109808
472,226531.8889411778,7.261063522260946e-05,59773468.11098617
473,226531.8889410679,6.771120959088331e-05,59773468.110991195
474,226531.88894096544,6.314245962357283e-05,59773468.11099587
475,226531.8889408699,5.888213060933144e-05,59773468.11100021
476,226531.8889407808,5.490928172178979e-05,59773468.11100428
477,226531.88894069768,5.1204218658926536e-05,59773468.111008056
478,226531.88894062018,4.774903689426506e-05,59773468.111011595
479,226531.8889405479,4.45270946898483e-05,59773468.11101489
480,226531.88894048054,4.152261777851713e-05,59773468.11101796
481,226531.8889404177,3.8720784586313245e-05,59773468.11102082
482,226531.8889403591,3.6107907055515135e-05,59773468.111023486
483,226531.88894030443,3.367146061687203e-05,59773468.11102598
484,226531.8889402535,3.1399513063579816e-05,59773468.1110283
485,226531.88894020597,2.9280843286353505e-05,59773468.111030474
486,226531.88894016165,2.730498501782778e-05,59773468.11103248
487,226531.88894012032,2.546251533517584e-05,59773468.11103436
488,226531.8889400818,2.3744441587834592e-05,59773468.11103613
489,226531.88894004587,2.2142300276310787e-05,59773468.11103776
490,226531.88894001234,2.0648154534767425e-05,59773468.11103929
491,226531.88893998112,1.9254898497385907e-05,59773468.11104072
492,226531.88893995198,1.795578170638986e-05,59773468.11104204
493,226531.8889399248,1.674440179734423e-05,59773468.11104328
494,226531.88893989948,1.561470992805961e-05,59773468.11104444
495,226531.88893987585,1.4561009476980525e-05,59773468.11104552
496,226531.8889398538,1.3578384716921072e-05,59773468.11104651
497,226531.88893983324,1.2662122257638183e-05,59773468.111047454
498,226531.8889398141,1.1807726097569376e-05,59773468.11104832
499,226531.88893979622,1.1010959466186825e-05,59773468.11104914
500,226531.88893977954,1.026783744666949e-05,59773468.111049905
501,226531.888939764,9.574870524761058e-06,59773468.11105061
502,226531.8889397495,8.928728404712826e-06,59773468.11105127
503,226531.88893973597,8.326238931804513e-06,59773468.11105189
504,226531.88893972337,7.764408571037888e-06,59773468.11105246
505,226531.88893971164,7.240416922690548e-06,59773468.111053
506,226531.88893970067,6.75180294291846e-06,59773468.1110535
507,226531.88893969046,6.2962142570562696e-06,59773468.111053966
508,226531.88893968094,5.8714039513935915e-06,59773468.1110544
509,226531.88893967206,5.475248386027317e-06,59773468.111054815
510,226531.88893966377,5.105744650856348e-06,59773468.11105519
511,226531.88893965603,4.76116669624349e-06,59773468.11105554
512,226531.88893964884,4.439864681369035e-06,59773468.111055866
513,226531.88893964211,4.140262163409898e-06,59773468.11105618
514,226531.88893963583,3.860874483703837e-06,59773468.111056454
515,226531.88893963,3.6001445981166447e-06,59773468.11105673
516,226531.88893962456,3.357276282621302e-06,59773468.11105698
517,226531.88893961947,3.1307543070325147e-06,59773468.111057214
518,226531.88893961473,2.919510512678853e-06,59773468.11105743
519,226531.88893961033,2.722515692587096e-06,59773468.111057624
520,226531.88893960617,2.538788147845841e-06,59773468.11105781
