t,s,i,r
327,58895598.50657299,0.017511283173302403,1104401.4759157074
328,58895598.50657289,0.016304205772889536,1104401.47712289
329,58895598.5065728,0.015180330496064732,1104401.4782468597
330,58895598.506572716,0.014133922585999827,1104401.4792933525
331,58895598.506572634,0.013159642970887758,1104401.4802677084
332,58895598.50657257,0.012252519879740678,1104401.4811749002
333,58895598.50657251,0.011407924662318684,1104401.482019557
334,58895598.50657245,0.010621547622716342,1104401.4828059892
335,58895598.5065724,0.009889375602032017,1104401.483538211
336,58895598.50657236,0.009207672671164466,1104401.4842199585
337,58895598.50657231,0.008572960138749114,1104401.4848547112
338,58895598.506572284,0.007981998824048965,1104401.4854457085
339,58895598.50657225,0.007431773299240025,1104401.4859959665
340,58895598.50657222,0.006919475643143774,1104401.4865082933
341,58895598.506572194,0.0064424914230425305,1104401.4869853035
342,58895598.506572165,0.005998386720905544,1104401.4874294316
343,58895598.50657214,0.005584895021268535,1104401.4878429442
344,58895598.50657213,0.005199906155354149,1104401.488227952
345,58895598.506572105,0.004841455560476859,1104401.4885864197
346,58895598.50657209,0.004507713831890879,1104401.4889201769
347,58895598.506572075,0.004196977839741529,1104401.4892309266
348,58895598.50657207,0.00390766183342986,1104401.489520255
349,58895598.50657205,0.0036382891884863882,1104401.4897896384
350,58895598.506572045,0.0033874852832710255,1104401.4900404525
351,58895598.50657203,0.0031539701531562315,1104401.4902739765
352,58895598.50657202,0.002936551964773269,1104401.4904914026
353,58895598.506572016,0.0027341212266910955,1104401.4906938407
354,58895598.50657201,0.0025456448005594864,1104401.4908823236
355,58895598.506572,0.0023701607438446886,1104401.4910578134
356,58895598.506572,0.002206773539901793,1104401.4912212058
357,58895598.50657199,0.0020546492691063804,1104401.4913733348
358,58895598.506571986,0.0019130116204871751,1104401.4915149768
359,58895598.506571986,0.001781137823792503,1104401.4916468544
360,58895598.50657198,0.0016583546570618684,1104401.491769641
361,58895598.50657198,0.0015440352354849274,1104401.4918839636
362,58895598.50657197,0.0014375963640119005,1104401.4919904051
363,58895598.50657197,0.001338494799482479,1104401.492089509
364,58895598.50657197,0.0012462247376529884,1104401.4921817814
365,58895598.50657196,0.0011603151290492898,1104401.4922676932
366,58895598.50657196,0.001080327540642631,1104401.4923476824
367,58895598.50657196,0.0010058540979027988,1104401.4924221577
368,58895598.506571956,0.0009365146423950771,1104401.4924914986
369,58895598.506571956,0.0008719549595867268,1104401.4925560595
370,58895598.506571956,0.0008118457371165104,1104401.4926161699
371,58895598.506571956,0.0007558804161212214,1104401.4926721363
372,58895598.506571956,0.0007037729338747093,1104401.4927242447
373,58895598.506571956,0.0006552574069263433,1104401.492772761
374,58895598.506571956,0.0006100865293805363,1104401.4928179327
375,58895598.506571956,0.0005680294874857396,1104401.4928599903
376,58895598.506571956,0.0005288715537391987,1104401.492899149
377,58895598.506571956,0.0004924130994846277,1104401.492935608
378,58895598.506571956,0.00045846802143607017,1104401.4929695535
