date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-10-10,229,3.763757525728592,4.384550526211956,3.142964525245228
2020-10-11,230,3.505558698575271,4.083764464484122,2.927352932666421
2020-10-12,231,3.265038071643868,3.8035724398470485,2.726503703440687
2020-10-13,232,3.0409885879286436,3.542568303686354,2.539408872170933
2020-10-14,233,2.832285310824742,3.299441572702022,2.365129048947462
2020-10-15,234,2.6378797878922784,3.072970863033487,2.2027887127510697
2020-10-16,235,2.456795001623365,2.862018008207738,2.051571995038992
2020-10-17,236,2.2881204178544197,2.665522290838286,1.910718544870553
2020-10-18,237,2.131007533733748,2.4824952562759,1.7795198111915962
2020-10-19,238,1.9846656946513388,2.3120158395840944,1.657315549718583
2020-10-20,239,1.8483580950031313,2.153225706670699,1.5434904833355638
2020-10-21,240,1.7213982180253065,2.005325106909515,1.4374713291410977
2020-10-22,241,1.603146350175183,1.8675688126042818,1.3387238877460843
2020-10-23,242,1.4930064222868988,1.7392624391255491,1.2467504054482486
2020-10-24,243,1.3904230781757303,1.619759030011505,1.1610871263399556
2020-10-25,244,1.294878841367193,1.5084557563782501,1.0813019263561359
2020-10-26,245,1.2058916056710172,1.4047909935898222,1.0069922177522121
2020-10-27,246,1.12301218712988,1.3082414694261104,0.9377829048336495
2020-10-28,247,1.0458220844442498,1.2183196551128683,0.8733245137756315
2020-10-29,248,0.9739314261653386,1.1345713739253054,0.8132914784053719
2020-10-30,249,0.906976967910295,1.0565734680645766,0.7573804677560134
2020-10-31,250,0.8446203231801828,0.9839317376674254,0.7053089086929402
2020-11-01,251,0.7865462473974515,0.9162789418133257,0.6568135529815773
2020-11-02,252,0.7324610519294499,0.8532729509575261,0.6116491529013737
2020-11-03,253,0.6820911659316324,0.794595071565119,0.5695872602981459
2020-11-04,254,0.6351817247294111,0.7399484016610334,0.5304150477977889
2020-11-05,255,0.5914953216096961,0.6890563767424582,0.4939342664769339
2020-11-06,256,0.5508108071281334,0.6416613710441881,0.4599602432120786
2020-11-07,257,0.5129221672176276,0.597523390602713,0.4283209438325422
2020-11-08,258,0.47763751515146446,0.5564188989540505,0.3988561313488784
2020-11-09,259,0.44477809913536714,0.5181396610383436,0.37141653723239065
2020-11-10,260,0.414177421124884,0.482491716675261,0.345863125574507
2020-11-11,261,0.38568039789868735,0.44929440326498554,0.32206639253238917
2020-11-12,262,0.35914256827232555,0.4183794322400486,0.2999057043046025
2020-11-13,263,0.33442938618354057,0.38959006555235837,0.27926870681472277
2020-11-14,264,0.3114155245493062,0.362780304708634,0.26005074438997844
2020-11-15,265,0.2899842528978973,0.33781416574930073,0.2421543400464939
2020-11-16,266,0.27002685190071213,0.3145649972133728,0.22548870658805148
2020-11-17,267,0.2514420536924904,0.2929148281452611,0.20996927923971967
2020-11-18,268,0.2341355458826369,0.2727537902978787,0.1955173014673951
2020-11-19,269,0.2180194841642614,0.25397955035156633,0.1820594179769565
2020-11-20,270,0.20301205260358998,0.2364967976777755,0.16952730752940445
2020-11-21,271,0.18903705543633723,0.22021676880646102,0.15785734206621344
2020-11-22,272,0.17602352231293408,0.20505678756057868,0.14699025706528948
2020-11-23,273,0.16390536014284418,0.19093985947571115,0.1368708608099772
2020-11-24,274,0.1526210123911595,0.17779427490114957,0.12744774988116941
